Project Number,Date,Day Number, Cost Per Day , Revenue Per Day , Cumulative Cost , Cumulative Revenue 
106,2024-05-04,122,1534.43,1755.51,259268.05,289998.13
106,2024-05-05,123,1534.43,1755.51,260802.48,291753.64
106,2024-05-06,124,1534.43,1755.51,262336.9,293509.14
106,2024-05-07,125,1534.43,1755.51,263871.33,295264.65
106,2024-05-08,126,1534.43,1755.51,265405.75,297020.16
106,2024-05-09,127,1534.43,1755.51,266940.18,298775.67
106,2024-05-10,128,1534.43,1755.51,268474.6,300531.17
106,2024-05-11,129,1534.43,1755.51,270009.03,302286.68
106,2024-05-12,130,1534.43,1755.51,271543.46,304042.19
106,2024-05-13,131,1534.43,1755.51,273077.88,305797.7
106,2024-05-14,132,1534.43,1755.51,274612.31,307553.2
106,2024-05-15,133,4165.74,4939.4,278778.05,312492.61
106,2024-05-16,134,4165.74,4939.4,282943.79,317432.01
106,2024-05-17,135,4165.74,4939.4,287109.53,322371.41
106,2024-05-18,136,4165.74,4939.4,291275.28,327310.81
106,2024-05-19,137,4165.74,4939.4,295441.02,332250.21
106,2024-05-20,138,4165.74,4939.4,299606.76,337189.61
106,2024-05-21,139,4165.74,4939.4,303772.5,342129.01
106,2024-05-22,140,4165.74,4939.4,307938.25,347068.42
106,2024-05-23,141,4165.74,4939.4,312103.99,352007.82
106,2024-05-24,142,4165.74,4939.4,316269.73,356947.22
106,2024-05-25,143,6795.74,8279.5,323065.47,365226.72
106,2024-05-26,144,6795.74,8279.5,329861.21,373506.22
106,2024-05-27,145,6795.74,8279.5,336656.96,381785.72
106,2024-05-28,146,6795.74,8279.5,343452.7,390065.22
106,2024-05-29,147,6795.74,8279.5,350248.44,398344.73
106,2024-05-30,148,6795.74,8279.5,357044.18,406624.23
106,2024-05-31,149,6795.74,8279.5,363839.93,414903.73
106,2024-06-01,150,6795.74,8279.5,370635.67,423183.23
106,2024-06-02,151,6795.74,8279.5,377431.41,431462.73
106,2024-06-03,152,6795.74,8279.5,384227.15,439742.23
106,2024-06-04,153,6795.74,8279.5,391022.9,448021.73
106,2024-06-05,154,5564.03,6863.03,396586.93,454884.77
106,2024-06-06,155,5564.03,6863.03,402150.96,461747.8
106,2024-06-07,156,5564.03,6863.03,407714.99,468610.83
106,2024-06-08,157,5564.03,6863.03,413279.02,475473.87
106,2024-06-09,158,5564.03,6863.03,418843.05,482336.9
106,2024-06-10,159,5564.03,6863.03,424407.08,489199.93
106,2024-06-11,160,5564.03,6863.03,429971.11,496062.97
106,2024-06-12,161,5564.03,6863.03,435535.14,502926
106,2024-06-13,162,5564.03,6863.03,441099.18,509789.03
106,2024-06-14,163,5564.03,6863.03,446663.21,516652.07
106,2024-06-15,164,5564.03,6863.03,452227.24,523515.1
106,2024-06-16,165,5564.03,6863.03,457791.27,530378.13
106,2024-06-17,166,5564.03,6863.03,463355.3,537241.17
106,2024-06-18,167,5564.03,6863.03,468919.33,544104.2
106,2024-06-19,168,5564.03,6863.03,474483.36,550967.23
106,2024-06-20,169,5564.03,6863.03,480047.39,557830.27
106,2024-06-21,170,5564.03,6863.03,485611.42,564693.3
106,2024-06-22,171,5564.03,6863.03,491175.46,571556.33
106,2024-06-23,172,5564.03,6863.03,496739.49,578419.37
106,2024-06-24,173,5564.03,6863.03,502303.52,585282.4
106,2024-06-25,174,2932.71,3679.14,505236.23,588961.54
106,2024-06-26,175,2932.71,3679.14,508168.95,592640.68
106,2024-06-27,176,2932.71,3679.14,511101.66,596319.82
106,2024-06-28,177,2932.71,3679.14,514034.37,599998.96
106,2024-06-29,178,2932.71,3679.14,516967.09,603678.1
106,2024-06-30,179,2932.71,3679.14,519899.8,607357.24
106,2024-07-01,180,2932.71,3679.14,522832.52,611036.38
106,2024-07-02,181,2932.71,3679.14,525765.23,614715.52
106,2024-07-03,182,2932.71,3679.14,528697.94,618394.66
106,2024-07-04,183,2932.71,3679.14,531630.66,622073.8
106,2024-07-05,184,2932.71,3679.14,534563.37,625752.94
106,2024-07-06,185,2932.71,3679.14,537496.08,629432.08
106,2024-07-07,186,2932.71,3679.14,540428.8,633111.21
106,2024-07-08,187,2932.71,3679.14,543361.51,636790.35
106,2024-07-09,188,2932.71,3679.14,546294.23,640469.49
106,2024-07-10,189,2932.71,3679.14,549226.94,644148.63
106,2024-07-11,190,2932.71,3679.14,552159.65,647827.77
106,2024-07-12,191,2932.71,3679.14,555092.37,651506.91
106,2024-07-13,192,2932.71,3679.14,558025.08,655186.05
106,2024-07-14,193,2932.71,3679.14,560957.8,658865.19
106,2024-07-15,194,2932.71,3679.14,563890.51,662544.33
106,2024-07-16,195,2932.71,3679.14,566823.22,666223.47
106,2024-07-17,196,2932.71,3679.14,569755.94,669902.61
106,2024-07-18,197,2932.71,3679.14,572688.65,673581.75
106,2024-07-19,198,2932.71,3679.14,575621.37,677260.89
106,2024-07-20,199,2932.71,3679.14,578554.08,680940.03
106,2024-07-21,200,2932.71,3679.14,581486.79,684619.17
106,2024-07-22,201,2932.71,3679.14,584419.51,688298.31
106,2024-07-23,202,2932.71,3679.14,587352.22,691977.45
106,2024-07-24,203,2932.71,3679.14,590284.94,695656.59
106,2024-07-25,204,2932.71,3679.14,593217.65,699335.73
106,2024-07-26,205,2932.71,3679.14,596150.36,703014.87
106,2024-07-27,206,2932.71,3679.14,599083.08,706694.01
106,2024-07-28,207,2932.71,3679.14,602015.79,710373.15
106,2024-07-29,208,2932.71,3679.14,604948.51,714052.29
106,2024-07-30,209,2932.71,3679.14,607881.22,717731.43
106,2024-07-31,210,2932.71,3679.14,610813.93,721410.57
106,2024-08-01,211,2932.71,3679.14,613746.65,725089.71
106,2024-08-02,212,2932.71,3679.14,616679.36,728768.85
106,2024-08-03,213,2932.71,3679.14,619612.08,732447.99
106,2024-08-04,214,2932.71,3679.14,622544.79,736127.12
106,2024-08-05,215,2932.71,3679.14,625477.5,739806.26
106,2024-08-06,216,2932.71,3679.14,628410.22,743485.4
106,2024-08-07,217,2932.71,3679.14,631342.93,747164.54
106,2024-08-08,218,2932.71,3679.14,634275.65,750843.68
106,2024-08-09,219,2932.71,3679.14,637208.36,754522.82
106,2024-08-10,220,2932.71,3679.14,640141.07,758201.96
106,2024-08-11,221,2932.71,3679.14,643073.79,761881.1
106,2024-08-12,222,2932.71,3679.14,646006.5,765560.24
106,2024-08-13,223,2932.71,3679.14,648939.22,769239.38
106,2024-08-14,224,2932.71,3679.14,651871.93,772918.52
106,2024-08-15,225,2932.71,3679.14,654804.64,776597.66
106,2024-08-16,226,2932.71,3679.14,657737.36,780276.8
106,2024-08-17,227,2932.71,3679.14,660670.07,783955.94
106,2024-08-18,228,2932.71,3679.14,663602.79,787635.08
106,2024-08-19,229,2932.71,3679.14,666535.5,791314.22
106,2024-08-20,230,2932.71,3679.14,669468.21,794993.36
106,2024-08-21,231,2932.71,3679.14,672400.93,798672.5
106,2024-08-22,232,2932.71,3679.14,675333.64,802351.64
106,2024-08-23,233,2932.71,3679.14,678266.36,806030.78
106,2024-08-24,234,2932.71,3679.14,681199.07,809709.92
106,2024-08-25,235,2932.71,3679.14,684131.78,813389.06
106,2024-08-26,236,2932.71,3679.14,687064.5,817068.2
106,2024-08-27,237,2932.71,3679.14,689997.21,820747.34
106,2024-08-28,238,2932.71,3679.14,692929.93,824426.48
106,2024-08-29,239,2932.71,3679.14,695862.64,828105.62
106,2024-08-30,240,2932.71,3679.14,698795.35,831784.76
106,2024-08-31,241,2932.71,3679.14,701728.07,835463.9
106,2024-09-01,242,2932.71,3679.14,704660.78,839143.04
106,2024-09-02,243,2932.71,3679.14,707593.5,842822.17
106,2024-09-03,244,2932.71,3679.14,710526.21,846501.31
106,2024-09-04,245,2932.71,3679.14,713458.92,850180.45
106,2024-09-05,246,2932.71,3679.14,716391.64,853859.59
106,2024-09-06,247,2932.71,3679.14,719324.35,857538.73
106,2024-09-07,248,2932.71,3679.14,722257.07,861217.87
106,2024-09-08,249,2932.71,3679.14,725189.78,864897.01
106,2024-09-09,250,2932.71,3679.14,728122.49,868576.15
106,2024-09-10,251,2932.71,3679.14,731055.21,872255.29
106,2024-09-11,252,2932.71,3679.14,733987.92,875934.43
106,2024-09-12,253,2932.71,3679.14,736920.64,879613.57
106,2024-09-13,254,2932.71,3679.14,739853.35,883292.71
106,2024-09-14,255,2932.71,3679.14,742786.06,886971.85
106,2024-09-15,256,2932.71,3679.14,745718.78,890650.99
106,2024-09-16,257,2932.71,3679.14,748651.49,894330.13
106,2024-09-17,258,2932.71,3679.14,751584.2,898009.27
106,2024-09-18,259,2932.71,3679.14,754516.92,901688.41
106,2024-09-19,260,2932.71,3679.14,757449.63,905367.55
106,2024-09-20,261,2932.71,3679.14,760382.35,909046.69
106,2024-09-21,262,2932.71,3679.14,763315.06,912725.83
106,2024-09-22,263,2932.71,3679.14,766247.77,916404.97
106,2024-09-23,264,2932.71,3679.14,769180.49,920084.11
106,2024-09-24,265,2932.71,3679.14,772113.2,923763.25
106,2024-09-25,266,2932.71,3679.14,775045.92,927442.39
106,2024-09-26,267,2932.71,3679.14,777978.63,931121.53
106,2024-09-27,268,2932.71,3679.14,780911.34,934800.67
106,2024-09-28,269,2932.71,3679.14,783844.06,938479.81
106,2024-09-29,270,2932.71,3679.14,786776.77,942158.95
106,2024-09-30,271,2932.71,3679.14,789709.49,945838.08
106,2024-10-01,272,2932.71,3679.14,792642.2,949517.22
106,2024-10-02,273,2932.71,3679.14,795574.91,953196.36
106,2024-10-03,274,2932.71,3679.14,798507.63,956875.5
106,2024-10-04,275,2932.71,3679.14,801440.34,960554.64
106,2024-10-05,276,2932.71,3679.14,804373.06,964233.78
106,2024-10-06,277,2932.71,3679.14,807305.77,967912.92
106,2024-10-07,278,2932.71,3679.14,810238.48,971592.06
106,2024-10-08,279,2932.71,3679.14,813171.2,975271.2
106,2024-10-09,280,2932.71,3679.14,816103.91,978950.34
106,2024-10-10,281,2932.71,3679.14,819036.63,982629.48
106,2024-10-11,282,2932.71,3679.14,821969.34,986308.62
106,2024-10-12,283,302.71,339.04,822272.05,986647.66
106,2024-10-13,284,302.71,339.04,822574.77,986986.7
106,2024-10-14,285,302.71,339.04,822877.48,987325.74
106,2024-10-15,286,302.71,339.04,823180.2,987664.78
106,2024-10-16,287,302.71,339.04,823482.91,988003.82
106,2024-10-17,288,302.71,339.04,823785.62,988342.86
106,2024-10-18,289,302.71,339.04,824088.34,988681.9
106,2024-10-19,290,302.71,339.04,824391.05,989020.94
106,2024-10-20,291,302.71,339.04,824693.77,989359.98
106,2024-10-21,292,302.71,339.04,824996.48,989699.02
107,2024-02-18,1,192.76,225.53,825189.24,989924.54
107,2024-02-19,2,192.76,225.53,825382,990150.07
107,2024-02-20,3,192.76,225.53,825574.76,990375.6
107,2024-02-21,4,192.76,225.53,825767.51,990601.13
107,2024-02-22,5,192.76,225.53,825960.27,990826.65
107,2024-02-23,6,1143.02,1280.32,827103.29,992106.97
107,2024-02-24,7,1143.02,1280.32,828246.32,993387.29
107,2024-02-25,8,1143.02,1280.32,829389.34,994667.62
107,2024-02-26,9,1143.02,1280.32,830532.36,995947.94
107,2024-02-27,10,1143.02,1280.32,831675.38,997228.26
107,2024-02-28,11,1143.02,1280.32,832818.41,998508.58
107,2024-02-29,12,1143.02,1280.32,833961.43,999788.9
107,2024-03-01,13,1143.02,1280.32,835104.45,1001069.22
107,2024-03-02,14,1143.02,1280.32,836247.47,1002349.54
107,2024-03-03,15,1143.02,1280.32,837390.5,1003629.86
107,2024-03-04,16,1143.02,1280.32,838533.52,1004910.18
107,2024-03-05,17,1143.02,1280.32,839676.54,1006190.5
107,2024-03-06,18,1143.02,1280.32,840819.56,1007470.82
107,2024-03-07,19,1143.02,1280.32,841962.59,1008751.14
107,2024-03-08,20,1143.02,1280.32,843105.61,1010031.46
107,2024-03-09,21,1143.02,1280.32,844248.63,1011311.78
107,2024-03-10,22,1143.02,1280.32,845391.65,1012592.1
107,2024-03-11,23,1143.02,1280.32,846534.68,1013872.42
107,2024-03-12,24,1143.02,1280.32,847677.7,1015152.74
107,2024-03-13,25,1143.02,1280.32,848820.72,1016433.06
107,2024-03-14,26,1143.02,1280.32,849963.74,1017713.38
107,2024-03-15,27,1143.02,1280.32,851106.77,1018993.7
107,2024-03-16,28,1143.02,1280.32,852249.79,1020274.02
107,2024-03-17,29,1143.02,1280.32,853392.81,1021554.35
107,2024-03-18,30,1143.02,1280.32,854535.83,1022834.67
107,2024-03-19,31,1143.02,1280.32,855678.86,1024114.99
107,2024-03-20,32,1143.02,1280.32,856821.88,1025395.31
107,2024-03-21,33,1143.02,1280.32,857964.9,1026675.63
107,2024-03-22,34,1143.02,1280.32,859107.92,1027955.95
107,2024-03-23,35,1143.02,1280.32,860250.95,1029236.27
107,2024-03-24,36,1143.02,1280.32,861393.97,1030516.59
107,2024-03-25,37,1143.02,1280.32,862536.99,1031796.91
107,2024-03-26,38,1143.02,1280.32,863680.01,1033077.23
107,2024-03-27,39,1143.02,1280.32,864823.04,1034357.55
107,2024-03-28,40,1143.02,1280.32,865966.06,1035637.87
107,2024-03-29,41,1143.02,1280.32,867109.08,1036918.19
107,2024-03-30,42,1143.02,1280.32,868252.1,1038198.51
107,2024-03-31,43,1143.02,1280.32,869395.13,1039478.83
107,2024-04-01,44,1143.02,1280.32,870538.15,1040759.15
107,2024-04-02,45,1143.02,1280.32,871681.17,1042039.47
107,2024-04-03,46,1143.02,1280.32,872824.19,1043319.79
107,2024-04-04,47,1143.02,1280.32,873967.22,1044600.11
107,2024-04-05,48,1143.02,1280.32,875110.24,1045880.43
107,2024-04-06,49,1143.02,1280.32,876253.26,1047160.75
107,2024-04-07,50,1143.02,1280.32,877396.28,1048441.08
107,2024-04-08,51,1143.02,1280.32,878539.31,1049721.4
107,2024-04-09,52,1143.02,1280.32,879682.33,1051001.72
107,2024-04-10,53,1143.02,1280.32,880825.35,1052282.04
107,2024-04-11,54,1143.02,1280.32,881968.37,1053562.36
107,2024-04-12,55,1143.02,1280.32,883111.4,1054842.68
107,2024-04-13,56,1143.02,1280.32,884254.42,1056123
107,2024-04-14,57,1143.02,1280.32,885397.44,1057403.32
107,2024-04-15,58,2654.64,2973.33,888052.08,1060376.65
107,2024-04-16,59,1704.37,1918.53,889756.45,1062295.18
107,2024-04-17,60,1704.37,1918.53,891460.82,1064213.71
107,2024-04-18,61,1704.37,1918.53,893165.19,1066132.25
107,2024-04-19,62,1704.37,1918.53,894869.56,1068050.78
107,2024-04-20,63,1704.37,1918.53,896573.93,1069969.31
107,2024-04-21,64,1704.37,1918.53,898278.3,1071887.85
107,2024-04-22,65,1704.37,1918.53,899982.68,1073806.38
107,2024-04-23,66,1704.37,1918.53,901687.05,1075724.92
107,2024-04-24,67,1704.37,1918.53,903391.42,1077643.45
107,2024-04-25,68,1704.37,1918.53,905095.79,1079561.98
107,2024-04-26,69,1704.37,1918.53,906800.16,1081480.52
107,2024-04-27,70,1704.37,1918.53,908504.53,1083399.05
107,2024-04-28,71,1704.37,1918.53,910208.9,1085317.58
107,2024-04-29,72,1704.37,1918.53,911913.27,1087236.12
107,2024-04-30,73,1704.37,1918.53,913617.65,1089154.65
107,2024-05-01,74,1704.37,1918.53,915322.02,1091073.19
107,2024-05-02,75,1704.37,1918.53,917026.39,1092991.72
107,2024-05-03,76,1704.37,1918.53,918730.76,1094910.25
107,2024-05-04,77,1704.37,1918.53,920435.13,1096828.79
107,2024-05-05,78,1704.37,1918.53,922139.5,1098747.32
107,2024-05-06,79,1704.37,1918.53,923843.87,1100665.85
107,2024-05-07,80,1704.37,1918.53,925548.24,1102584.39
107,2024-05-08,81,1704.37,1918.53,927252.62,1104502.92
107,2024-05-09,82,1704.37,1918.53,928956.99,1106421.45
107,2024-05-10,83,1704.37,1918.53,930661.36,1108339.99
107,2024-05-11,84,1704.37,1918.53,932365.73,1110258.52
107,2024-05-12,85,1704.37,1918.53,934070.1,1112177.06
107,2024-05-13,86,1704.37,1918.53,935774.47,1114095.59
107,2024-05-14,87,1704.37,1918.53,937478.84,1116014.12
107,2024-05-15,88,1704.37,1918.53,939183.21,1117932.66
107,2024-05-16,89,1704.37,1918.53,940887.59,1119851.19
107,2024-05-17,90,1704.37,1918.53,942591.96,1121769.72
107,2024-05-18,91,1704.37,1918.53,944296.33,1123688.26
107,2024-05-19,92,1704.37,1918.53,946000.7,1125606.79
107,2024-05-20,93,1704.37,1918.53,947705.07,1127525.33
107,2024-05-21,94,1704.37,1918.53,949409.44,1129443.86
107,2024-05-22,95,1704.37,1918.53,951113.81,1131362.39
107,2024-05-23,96,1704.37,1918.53,952818.18,1133280.93
107,2024-05-24,97,1704.37,1918.53,954522.56,1135199.46
107,2024-05-25,98,1704.37,1918.53,956226.93,1137117.99
107,2024-05-26,99,1704.37,1918.53,957931.3,1139036.53
107,2024-05-27,100,1704.37,1918.53,959635.67,1140955.06
107,2024-05-28,101,1704.37,1918.53,961340.04,1142873.6
107,2024-05-29,102,1704.37,1918.53,963044.41,1144792.13
107,2024-05-30,103,1704.37,1918.53,964748.78,1146710.66
107,2024-05-31,104,1704.37,1918.53,966453.15,1148629.2
107,2024-06-01,105,1704.37,1918.53,968157.53,1150547.73
107,2024-06-02,106,1704.37,1918.53,969861.9,1152466.26
107,2024-06-03,107,1704.37,1918.53,971566.27,1154384.8
107,2024-06-04,108,1704.37,1918.53,973270.64,1156303.33
107,2024-06-05,109,1704.37,1918.53,974975.01,1158221.87
107,2024-06-06,110,1704.37,1918.53,976679.38,1160140.4
107,2024-06-07,111,1704.37,1918.53,978383.75,1162058.93
107,2024-06-08,112,1704.37,1918.53,980088.12,1163977.47
107,2024-06-09,113,1704.37,1918.53,981792.5,1165896
107,2024-06-10,114,1704.37,1918.53,983496.87,1167814.53
107,2024-06-11,115,1704.37,1918.53,985201.24,1169733.07
107,2024-06-12,116,1704.37,1918.53,986905.61,1171651.6
107,2024-06-13,117,1704.37,1918.53,988609.98,1173570.14
107,2024-06-14,118,1704.37,1918.53,990314.35,1175488.67
107,2024-06-15,119,1704.37,1918.53,992018.72,1177407.2
107,2024-06-16,120,1704.37,1918.53,993723.09,1179325.74
107,2024-06-17,121,1704.37,1918.53,995427.47,1181244.27
107,2024-06-18,122,1704.37,1918.53,997131.84,1183162.8
107,2024-06-19,123,1704.37,1918.53,998836.21,1185081.34
107,2024-06-20,124,1704.37,1918.53,1000540.58,1186999.87
107,2024-06-21,125,1704.37,1918.53,1002244.95,1188918.4
107,2024-06-22,126,1704.37,1918.53,1003949.32,1190836.94
107,2024-06-23,127,1704.37,1918.53,1005653.69,1192755.47
107,2024-06-24,128,1704.37,1918.53,1007358.06,1194674.01
107,2024-06-25,129,1704.37,1918.53,1009062.44,1196592.54
107,2024-06-26,130,3438.37,4016.67,1012500.81,1200609.21
107,2024-06-27,131,3438.37,4016.67,1015939.18,1204625.89
107,2024-06-28,132,3438.37,4016.67,1019377.55,1208642.56
107,2024-06-29,133,3438.37,4016.67,1022815.92,1212659.23
107,2024-06-30,134,3438.37,4016.67,1026254.29,1216675.91
107,2024-07-01,135,3438.37,4016.67,1029692.66,1220692.58
107,2024-07-02,136,3438.37,4016.67,1033131.03,1224709.26
107,2024-07-03,137,3438.37,4016.67,1036569.41,1228725.93
107,2024-07-04,138,3438.37,4016.67,1040007.78,1232742.6
107,2024-07-05,139,3438.37,4016.67,1043446.15,1236759.28
107,2024-07-06,140,5107.52,6053.03,1048553.67,1242812.31
107,2024-07-07,141,5107.52,6053.03,1053661.18,1248865.34
107,2024-07-08,142,5107.52,6053.03,1058768.7,1254918.37
107,2024-07-09,143,5107.52,6053.03,1063876.22,1260971.4
107,2024-07-10,144,5107.52,6053.03,1068983.74,1267024.44
107,2024-07-11,145,5107.52,6053.03,1074091.25,1273077.47
107,2024-07-12,146,5107.52,6053.03,1079198.77,1279130.5
107,2024-07-13,147,5107.52,6053.03,1084306.29,1285183.53
107,2024-07-14,148,5107.52,6053.03,1089413.8,1291236.56
107,2024-07-15,149,5107.52,6053.03,1094521.32,1297289.6
107,2024-07-16,150,5107.52,6053.03,1099628.84,1303342.63
107,2024-07-17,151,3595.9,4360.03,1103224.74,1307702.65
107,2024-07-18,152,3595.9,4360.03,1106820.65,1312062.68
